,Rank,Title,Type,q_issn,SJR,Category,availability,coverage
10,11,Bioinorganic Chemistry and Applications,journal,15653633,"0,906",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 01/01/2007.', 'ProQuest Publicly Available Content Database': 'Available from 01/01/2008.', 'ProQuest SciTech Premium Collection': 'Available from 01/01/2008.', 'PubMed Central': 'Available from 2003 volume: 1.', 'DOAJ - Directory of Open Access Journals': 'Available from 2008.', 'Scholars Portal Journals: Open Access': 'Available from 01/01/2003 volume: 1 issue: 1 until 31/01/2022 volume: 2022.', 'Gale Academic OneFile': 'Available from 2011 until 2017.'}"
11,12,Comments on Inorganic Chemistry,journal,02603594,"0,890",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 01/01/2002.Most recent 1 year(s) 3 month(s) not available.', 'Taylor & Francis Journals Complete': 'Available from 1997.', 'Scholars Portal Journals: Taylor and Francis Current': 'Available from 01/03/1996 volume: 18 issue: 2 until 31/01/2023 volume: 43 issue: 1.'}"
12,13,Dalton Transactions,journal,14779226,"0,864",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Royal Society of Chemistry Journals Gold': 'Available from 2003 issue: 21.', 'Royal Society Of Chemistry Journals 2008-': 'Available from 2008 issue: 1.', 'Scholars Portal Journals: Royal Society of Chemistry': 'Available from 01/01/1972 volume: 1972 until 31/01/2023 volume: 52 issue: 3.'}"
13,14,Biological Trace Element Research,journal,15590720,"0,649",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'Scholars Portal Journals: Springer': 'Available from 01/03/1979 volume: 1 issue: 1 until 28/02/2023 volume: 201 issue: 2.', 'Scholars Portal Journals: Springer Current': 'Available from 01/01/1997 volume: 56 issue: 1 until 28/02/2023 volume: 201 issue: 2.', 'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 56 issue: 1.', 'Humana Press Journals': 'Available from 2000 volume: 73 issue: 1.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 01/01/1979 volume: 1 issue: 1 until 30/09/1988 volume: 17 issue: 1.', 'ProQuest SciTech Premium Collection': 'Available from 01/01/1997.Most recent 1 year(s) not available.'}"
14,15,Optical Materials: X,journal,25901478,"0,642",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'DOAJ - Directory of Open Access Journals': 'Available from 2019.', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/01/2019 volume: 1 until 31/10/2022 volume: 16.'}"
15,16,Journal of Chemical Technology and Biotechnology,journal,02682575,"0,625",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'Scholars Portal Journals: Wiley Current': 'Available from 01/01/1997 volume: 68 issue: 1 until 28/02/2023 volume: 98 issue: 2.', 'CRKN Wiley Online Library': 'Available from 1996 volume: 65 issue: 1.'}"
16,17,Journal of Biological Inorganic Chemistry,journal,09498257,"0,620",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 2 issue: 1.', 'EBSCOhost Academic Search Complete': 'Available from 01/01/2003.Most recent 1 year(s) not available.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 01/01/1996 volume: 1 issue: 1 until 31/12/1996 volume: 1 issue: 6.', 'Scholars Portal Journals: Springer': 'Available from 01/04/2022 volume: 27 issue: 3 until 31/12/2022 volume: 27 issue: 8.', 'Scholars Portal Journals: Springer Current': 'Available from 01/04/2022 volume: 27 issue: 3 until 31/12/2022 volume: 27 issue: 8.'}"
17,18,Journal of Trace Elements in Medicine and Biology,journal,0946672X,"0,599",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Elsevier Additional Journals': 'Available from 01/03/1995 volume: 9 issue: 1.', 'Elsevier SD Freedom Collection Journals [SCFCJ]': '', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/03/1995 volume: 9 issue: 1 until 31/03/2023 volume: 76.', 'ProQuest SciTech Premium Collection': 'Available from 01/10/2001 until 31/07/2004.'}"
18,19,Helvetica Chimica Acta,journal,0018019X,"0,595",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1999 volume: 82 issue: 1.', 'Scholars Portal Journals: Wiley Current': 'Available from 01/02/1997 volume: 80 issue: 1 until 31/12/2022 volume: 105 issue: 12.'}"
19,20,Optical Materials,journal,09253467,"0,583",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Elsevier Additional Journals': 'Available from 01/01/1995 volume: 4 issue: 2.', 'Elsevier SD Freedom Collection Journals [SCFCJ]': '', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/01/1995 volume: 4 until 31/01/2023 volume: 135.'}"
20,21,Applied Organometallic Chemistry,journal,02682605,"0,581",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1996 volume: 10 issue: 1.', 'Scholars Portal Journals: Wiley Current': 'Available from 01/01/1997 volume: 11 issue: 1 until 31/01/2023 volume: 37 issue: 1.'}"
21,22,Journal of Solid State Chemistry,journal,1095726X,"0,576",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Elsevier Academic Press Journals': 'Available from 01/01/1993 volume: 102 issue: 1.', 'CRKN Elsevier Additional Journals': 'Available from 01/01/1995 volume: 114 issue: 1.', 'Elsevier SD Freedom Collection Journals [SCFCJ]': '', 'Scholars Portal Journals: Academic Press': 'Available from 01/01/1993 volume: 102 issue: 1 until 31/03/2023 volume: 319.'}"
22,23,Journal of Inorganic Biochemistry,journal,01620134,"0,571",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Elsevier Additional Journals': 'Available from 01/01/1995 volume: 57 issue: 1.', 'Elsevier SD Freedom Collection Journals [SCFCJ]': '', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/01/1995 volume: 57 issue: 1 until 28/02/2023 volume: 239.'}"
23,24,European Journal of Inorganic Chemistry,journal,10990682,"0,553",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1998 volume: 1998 issue: 1.', 'Scholars Portal Journals: Wiley Current': 'Available from 01/01/1998 volume: 1998 issue: 1 until 31/01/2023 volume: 26 issue: 3.'}"
24,25,Oxidation of Metals,journal,0030770X,"0,548",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 47 issue: 1.', 'SpringerLink Historical Archives Chemistry and Materials Science': 'Available from 01/01/1969 volume: 1 issue: 1 until 31/12/1996 volume: 46.', 'Scholars Portal Journals: Springer': 'Available from 01/03/1969 volume: 1 issue: 1 until 31/12/2022 volume: 98.', 'Scholars Portal Journals: Springer Current': 'Available from 01/02/1997 volume: 47 until 31/12/2022 volume: 98.'}"
25,26,Inorganics,journal,23046740,"0,540",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'Gale Academic OneFile': 'Available from 01/04/2022.', 'ProQuest Publicly Available Content Database': 'Available from 01/01/2013.', 'ProQuest SciTech Premium Collection': 'Available from 01/01/2013.', 'Free E- Journals': 'Available from 2013.', 'DOAJ - Directory of Open Access Journals': 'Available from 2013.'}"
26,27,Organometallic Chemistry,book series,03010074,"0,517",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,No full-text available,{}
27,28,Journal of Molecular Structure,journal,00222860,"0,480",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Elsevier Additional Journals': 'Available from 01/01/1995 volume: 344 issue: 1.', 'Elsevier SD Freedom Collection Journals [SCFCJ]': '', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/01/1995 volume: 344 until 28/02/2023 volume: 1274.'}"
28,29,Inorganic Chemistry Communication,journal,13877003,"0,463",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Elsevier Additional Journals': 'Available from 01/01/1998 volume: 1 issue: 1.', 'Elsevier SD Freedom Collection Journals [SCFCJ]': '', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/01/1998 volume: 1 issue: 1 until 28/02/2023 volume: 148.'}"
29,30,Crystals,journal,20734352,"0,459",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'Gale Academic OneFile': 'Available from 01/05/2022.', 'ProQuest Publicly Available Content Database': 'Available from 01/03/2011.', 'ProQuest SciTech Premium Collection': 'Available from 01/03/2011.', 'DOAJ - Directory of Open Access Journals': 'Available from 2011.'}"
30,31,Metal ions in life sciences,book series,20419821,"0,457",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,No full-text available,{}
31,32,Polyhedron,journal,02775387,"0,446",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Elsevier Additional Journals': 'Available from 01/01/1995 volume: 14 issue: 1.', 'Elsevier SD Freedom Collection Journals [SCFCJ]': '', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/01/1995 volume: 14 until 28/02/2023 volume: 231.'}"
32,33,Journal of Crystal Growth,journal,00220248,"0,430",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Elsevier Additional Journals': 'Available from 01/01/1995 volume: 146 issue: 1.', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/01/1995 volume: 146 issue: 1 until 28/02/2023 volume: 603.', 'Elsevier SD Freedom Collection Journals [SCFCJ]': 'Available from 1995 volume: 146 issue: 1.'}"
33,34,Journal of Organometallic Chemistry,journal,0022328X,"0,430",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Elsevier Additional Journals': 'Available from 11/01/1995 volume: 485 issue: 1.', 'Elsevier SD Freedom Collection Journals [SCFCJ]': '', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/01/1995 volume: 485 until 31/01/2023 volume: 984.'}"
34,35,Journal of Fluorine Chemistry,journal,00221139,"0,424",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Elsevier Additional Journals': 'Available from 01/01/1995 volume: 70 issue: 1.', 'Elsevier SD Freedom Collection Journals [SCFCJ]': '', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/01/1995 volume: 70 issue: 1 until 31/01/2023 volume: 265.'}"
35,36,Advances in Inorganic Chemistry,book series,08988838,"0,421",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,No full-text available,{}
36,37,Inorganica Chimica Acta,journal,18733255,"0,420",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Elsevier Additional Journals': 'Available from 01/01/1995 volume: 228 issue: 1.', 'Elsevier SD Freedom Collection Journals [SCFCJ]': '', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/01/1995 volume: 228 issue: 1 until 28/02/2023 volume: 546.'}"
37,38,Carbon Letters,journal,22334998,"0,409",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 01/02/2019 volume: 29 issue: 1.', 'Korea Institute of Science and Technology Information (한국과학기술정보연구원)': 'Available from 2002.', 'Scholars Portal Journals: Springer': 'Available from 01/10/2019 volume: 29 issue: 5 until 31/12/2022 volume: 32 issue: 7.', 'Scholars Portal Journals: Springer Current': 'Available from 01/10/2019 volume: 29 issue: 5 until 31/12/2022 volume: 32 issue: 7.'}"
38,39,Molecular Diversity,journal,1573501X,"0,403",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 2 issue: 3.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 01/01/1996 volume: 1 issue: 1 until 31/08/1996 volume: 1 issue: 4.', 'ProQuest SciTech Premium Collection': 'Available from 01/03/1997.Most recent 1 year(s) not available.', 'Scholars Portal Journals: Springer': 'Available from 01/09/1995 volume: 1 issue: 1 until 31/01/1998 volume: 4 issue: 4.Available from 01/01/2000 volume: 5 issue: 1 until 31/01/2000 volume: 5 issue: 4.Available from 01/01/2003 volume: 6 issue: 1 until 31/12/2022 volume: 26 issue: 6.', 'Scholars Portal Journals: Springer Current': 'Available from 01/03/1997 volume: 2 issue: 3 until 31/01/1998 volume: 4 issue: 4.Available from 01/01/2000 volume: 5 issue: 1 until 31/01/2000 volume: 5 issue: 4.Available from 01/01/2003 volume: 6 issue: 1 until 31/12/2022 volume: 26 issue: 6.'}"
39,40,Isotopes in Environmental and Health Studies,journal,10256016,"0,391",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'Taylor & Francis Journals Complete': 'Available from 1997.', 'Scholars Portal Journals: Taylor and Francis Current': 'Available from 01/04/1996 volume: 32 issue: 1 until 30/11/2022 volume: 58.'}"
40,41,International Journal of Chemical Kinetics,journal,10974601,"0,350",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'Scholars Portal Journals: Wiley Current': 'Available from 01/01/1997 volume: 29 issue: 1 until 28/02/2023 volume: 55 issue: 2.', 'CRKN Wiley Online Library': 'Available from 1996 volume: 28 issue: 1.', 'EBSCOhost Academic Search Complete': 'Available from 01/01/2005.Most recent 1 year(s) not available.'}"
41,42,Journal of Molecular Modeling,journal,16102940,"0,344",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 01/02/2003 volume: 9 issue: 1.', 'SpringerLink Historical Archives Biomedical and Life Sciences': 'Available from 1995 volume: 1 until 1996 volume: 2.', 'Scholars Portal Journals: Springer': 'Available from 1995 volume: 1 issue: 1 until 2011 volume: 17 issue: 7.', 'Scholars Portal Journals: Springer Current': 'Available from 1997 volume: 3 issue: 2 until 2011 volume: 17 issue: 7.'}"
42,43,Transition Metal Chemistry,journal,1572901X,"0,322",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 1997 volume: 22 issue: 1.', 'SpringerLink Historical Archives Chemistry and Materials Science': 'Available from 01/01/1976 volume: 1 issue: 1 until 31/12/1996 volume: 21 issue: 6.', 'Scholars Portal Journals: Springer Current': 'Available from 01/01/1997 volume: 22 issue: 1 until 31/12/2022 volume: 47.', 'Scholars Portal Journals: Springer': 'Available from 01/10/1975 volume: 1 issue: 1 until 31/12/2022 volume: 47.'}"
43,44,Zeitschrift fur Anorganische und Allgemeine Chemie,journal,00442313,"0,322",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1998 volume: 624 issue: 1.', 'Scholars Portal Journals: Wiley Current': 'Available from 01/01/1997 volume: 623 until 31/01/2023 volume: 649 issue: 2.'}"
44,45,Macromolecular Theory and Simulations,journal,15213919,"0,311",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1998 volume: 7 issue: 1.', 'Scholars Portal Journals: Wiley Current': 'Available from 01/01/1997 volume: 6 issue: 1 until 30/11/2022 volume: 31 issue: 6.'}"
45,46,Gold Bulletin,journal,00171557,"0,307",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,"Full-text available, but not complete","{'Scholars Portal Journals: Springer': 'Available from 01/03/1997 volume: 30 issue: 1 until 31/12/2010 volume: 43 issue: 4.', 'Scholars Portal Journals: Springer Current': 'Available from 01/03/1997 volume: 30 issue: 1 until 31/12/2010 volume: 43 issue: 4.'}"
46,47,Zeitschrift fur Kristallographie - Crystalline Materials,journal,21944946,"0,297",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,{'De Gruyter journals': 'Available from 20/06/1877 issue: 1.'}
47,48,Russian Journal of Inorganic Chemistry,journal,00360236,"0,292",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 2006 volume: 51 issue: 1.', 'Springer Russian Library of Science': 'Available from 2006 volume: 51.', 'Scholars Portal Journals: Springer': 'Available from 01/01/2006 volume: 51 issue: 1 until 31/12/2022 volume: 67 issue: 14.', 'Scholars Portal Journals: Springer Current': 'Available from 01/01/2006 volume: 51 issue: 1 until 31/12/2022 volume: 67 issue: 14.'}"
48,49,Journal of Superhard Materials,journal,19349408,"0,276",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,Full-text available to present,"{'Canadian Research Knowledge Network SpringerLink Current': 'Available from 2007 volume: 29 issue: 1.', 'Springer Russian Library of Science': 'Available from 2007 volume: 29 issue: 1.', 'Scholars Portal Journals: Springer': 'Available from 01/02/2007 volume: 29 issue: 1 until 31/12/2022 volume: 44 issue: 6.', 'Scholars Portal Journals: Springer Current': 'Available from 01/02/2007 volume: 29 issue: 1 until 31/12/2022 volume: 44 issue: 6.'}"
49,50,Iranian Journal of Catalysis,journal,23454865,"0,264",data\scimagojr 2021  Subject Category - Inorganic Chemistry.csv,No full-text available,{}
0,1,Progress in Polymer Science,journal,00796700,"5,886",data\scimagojr 2021  Subject Category - Organic Chemistry.csv,Full-text available to present,"{'Elsevier SD Freedom Collection Journals [SCFCJ]': '', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/01/1995 volume: 20 issue: 1 until 31/01/2023 volume: 136.', 'CRKN Elsevier Additional Journals': 'Available from 1995 volume: 20 issue: 1.'}"
1,2,Natural Product Reports,journal,02650568,"2,780",data\scimagojr 2021  Subject Category - Organic Chemistry.csv,Full-text available to present,"{'CRKN Royal Society of Chemistry Journals Gold': 'Available from 1997 volume: 14 issue: 1.', 'Royal Society Of Chemistry Journals 2008-': 'Available from 2008 volume: 25 issue: 1.', 'Scholars Portal Journals: Royal Society of Chemistry': 'Available from 01/01/1984 volume: 1 until 31/01/2008 volume: 25 issue: 1.'}"
2,3,Journal of Photochemistry and Photobiology C: Photochemistry Reviews,journal,13895567,"2,718",data\scimagojr 2021  Subject Category - Organic Chemistry.csv,Full-text available to present,"{'CRKN Elsevier Additional Journals': 'Available from 29/06/2000 volume: 1 issue: 1.', 'Elsevier SD Freedom Collection Journals [SCFCJ]': '', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/06/2000 volume: 1 issue: 1 until 31/12/2022 volume: 53.'}"
3,4,Journal of Bioresources and Bioproducts,journal,23699698,"2,466",data\scimagojr 2021  Subject Category - Organic Chemistry.csv,Full-text available to present,"{'Scholars Portal Journals: Elsevier Current': 'Available from 01/05/2020 volume: 5 issue: 2 until 28/02/2023 volume: 8 issue: 1.', 'DOAJ - Directory of Open Access Journals': 'Available from 2016.'}"
4,5,Redox Biology,journal,22132317,"2,191",data\scimagojr 2021  Subject Category - Organic Chemistry.csv,Full-text available to present,"{'DOAJ - Directory of Open Access Journals': 'Available from 2013.', 'Elsevier ScienceDirect Journals': 'Available from 2013 volume: 1 issue: 1.', 'PubMed Central': 'Available from 2013 volume: 1.', 'Scholars Portal Journals: Open Access': 'Available from 01/02/2013 volume: 1 issue: 1 until 31/01/2023 volume: 60.'}"
5,6,Aldrichimica Acta,journal,00025100,"2,000",data\scimagojr 2021  Subject Category - Organic Chemistry.csv,Full-text available to present,{'Free E- Journals': 'Available from 1968 volume: 1 issue: 1.'}
6,7,ACS Macro Letters,journal,21611653,"1,705",data\scimagojr 2021  Subject Category - Organic Chemistry.csv,Full-text available to present,{'CRKN American Chemical Society Journals': 'Available from 17/01/2012 volume: 1 issue: 1.'}
7,8,Organic Letters,journal,15237052,"1,669",data\scimagojr 2021  Subject Category - Organic Chemistry.csv,Full-text available to present,{'CRKN American Chemical Society Journals': 'Available from 15/07/1999 volume: 1 issue: 1.'}
8,9,Carbohydrate Polymers,journal,18791344,"1,612",data\scimagojr 2021  Subject Category - Organic Chemistry.csv,Full-text available to present,"{'Elsevier SD Freedom Collection Journals [SCFCJ]': '', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/01/1995 volume: 26 issue: 1 until 31/03/2023 volume: 304.', 'CRKN Elsevier Additional Journals': 'Available from 1995 volume: 26 issue: 1.'}"
9,10,Fuel,journal,00162361,"1,514",data\scimagojr 2021  Subject Category - Organic Chemistry.csv,Full-text available to present,"{'CRKN Elsevier Additional Journals': 'Available from 01/01/1995 volume: 74 issue: 1.', 'Elsevier SD Freedom Collection Journals [SCFCJ]': '', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/01/1995 volume: 74 issue: 1 until 31/03/2023 volume: 335.'}"
10,11,Macromolecules,journal,00249297,"1,504",data\scimagojr 2021  Subject Category - Organic Chemistry.csv,Full-text available to present,"{'CRKN American Chemical Society Journals': 'Available from 01/01/1996 volume: 29 issue: 1.', 'ACS CRKN Legacy Archives': 'Available from 1968 volume: 1 issue: 1 until 1995 volume: 28 issue: 26.', 'American Chemical Society Legacy Archive': 'Available from 01/01/1968 volume: 1 issue: 1 until 31/12/1995 volume: 28 issue: 26.'}"
11,12,Organic Reactions,book series,00786179,"1,432",data\scimagojr 2021  Subject Category - Organic Chemistry.csv,No full-text available,{}
12,13,Ultrasonics Sonochemistry,journal,13504177,"1,414",data\scimagojr 2021  Subject Category - Organic Chemistry.csv,Full-text available to present,"{'Elsevier SD Freedom Collection Journals [SCFCJ]': '', 'Scholars Portal Journals: Elsevier Current': 'Available from 01/01/1995 volume: 2 issue: 1 until 31/01/2023 volume: 92.', 'PubMed Central': 'Available from 2021 volume: 70.', 'DOAJ - Directory of Open Access Journals': 'Available from 2021.', 'CRKN Elsevier Additional Journals': 'Available from 1995 volume: 2 issue: 1.'}"
13,14,Advanced Synthesis and Catalysis,journal,16154169,"1,392",data\scimagojr 2021  Subject Category - Organic Chemistry.csv,Full-text available to present,{'CRKN Wiley Online Library': 'Available from 29/01/2001 volume: 343 issue: 1.'}
14,15,Chemistry - A European Journal,journal,15213765,"1,343",data\scimagojr 2021  Subject Category - Organic Chemistry.csv,Full-text available to present,"{'CRKN Wiley Online Library': 'Available from 1995 volume: 1 issue: 1.', 'Scholars Portal Journals: Wiley Current': 'Available from 01/01/1997 volume: 3 issue: 1 until 31/01/2023 volume: 29 issue: 3.'}"
15,16,ChemCatChem,journal,18673880,"1,311",data\scimagojr 2021  Subject Category - Organic Chemistry.csv,Full-text available to present,"{'EBSCOhost Academic Search Complete': 'Available from 2011 volume: 3 issue: 5.Most recent 1 year(s) not available.', 'CRKN Wiley Online Library': 'Available from 2009 volume: 1 issue: 1.', 'Scholars Portal Journals: Wiley Current': 'Available from 01/08/2009 volume: 1 issue: 1 until 31/01/2015 volume: 7 issue: 1.'}"
